,Yıl,Km,Fiyat,Yakıt_Benzin,Yakıt_Dizel,Yakıt_Hybrid,Vites_Manuel,Vites_Otomatik,Model_1.0 TSI Highline,Model_1.0 TSI Midline Plus,Model_1.0 TSI R-Line,Model_1.0 Trendline,Model_1.2 TDi BlueMotion,Model_1.2 TDi Trendline,Model_1.2 TSI Allstar,Model_1.2 TSI Beetle,Model_1.2 TSI BlueMotion Comfortline,Model_1.2 TSI BlueMotion Highline,Model_1.2 TSI BlueMotion Trendline,Model_1.2 TSI Comfortline,Model_1.2 TSI Design,Model_1.2 TSI Highline,Model_1.2 TSI Lounge,Model_1.2 TSI Midline Plus,Model_1.2 TSI Style,Model_1.2 TSI Trendline,Model_1.2 Trendline,Model_1.3,Model_1.4,Model_1.4 Basicline,Model_1.4 CL,Model_1.4 Chrome Edition,Model_1.4 Comfortline,Model_1.4 Cross,Model_1.4 Fan Edition,Model_1.4 Goal,Model_1.4 Highline,Model_1.4 Primeline,Model_1.4 Pulse,Model_1.4 Sportline,Model_1.4 TDi Basicline,Model_1.4 TDi Bluemotion,Model_1.4 TDi Comfortline,Model_1.4 TDi Goal,Model_1.4 TDi Oxford,Model_1.4 TDi Primeline,Model_1.4 TDi Trendline,Model_1.4 TSI 1.4,Model_1.4 TSI ACT BlueGT,Model_1.4 TSI Allstar,Model_1.4 TSI BlueMotion Comfortline,Model_1.4 TSI BlueMotion Exclusive,Model_1.4 TSI BlueMotion Highline,Model_1.4 TSI BlueMotion Trendline,Model_1.4 TSI Comfortline,Model_1.4 TSI Design,Model_1.4 TSI Exclusive,Model_1.4 TSI Fan Edition,Model_1.4 TSI GT,Model_1.4 TSI GTS,Model_1.4 TSI GTi,Model_1.4 TSI Highline,Model_1.4 TSI Midline,Model_1.4 TSI Pulse,Model_1.4 TSI R-Line,Model_1.4 TSI Sportline,Model_1.4 TSI Tour,Model_1.4 TSI Trendline,Model_1.4 TSI White Edition,Model_1.4 Tour,Model_1.4 Trendline,Model_1.5 TSI  Business,Model_1.5 TSI  Impression,Model_1.5 TSI Comfortline,Model_1.5 TSI Elegance,Model_1.5 TSI Highline,Model_1.5 TSI R Line,Model_1.6,Model_1.6 Basic,Model_1.6 Basicline,Model_1.6 CL,Model_1.6 Classic,Model_1.6 Comfortline,Model_1.6 Comfortline Classic,Model_1.6 Exclusive,Model_1.6 FSi Comfortline,Model_1.6 FSi Comfortline Plus,Model_1.6 FSi Exclusive,Model_1.6 FSi Goal,Model_1.6 FSi Highline,Model_1.6 FSi Midline,Model_1.6 FSi Midline Plus,Model_1.6 FSi Sportline,Model_1.6 FSi Trendline,Model_1.6 GL,Model_1.6 GTi,Model_1.6 Goal,Model_1.6 Highline,Model_1.6 Highline Classic,Model_1.6 Midline,Model_1.6 Midline Plus,Model_1.6 Pacific,Model_1.6 Primeline,Model_1.6 Primeline Plus,Model_1.6 Smile,Model_1.6 Sport,Model_1.6 Sportline,Model_1.6 Sportline Classic,Model_1.6 TDI Design,Model_1.6 TDi BlueMotion,Model_1.6 TDi BlueMotion Business,Model_1.6 TDi BlueMotion Comfortline,Model_1.6 TDi BlueMotion Elegance,Model_1.6 TDi BlueMotion Exclusive,Model_1.6 TDi BlueMotion Highline,Model_1.6 TDi BlueMotion Impression,Model_1.6 TDi BlueMotion Midline Plus,Model_1.6 TDi BlueMotion R Line,Model_1.6 TDi BlueMotion Trendline,Model_1.6 TDi Comfortline,Model_1.6 TDi Exclusive,Model_1.6 TDi Highline,Model_1.6 TDi Midline,Model_1.6 TDi Primeline,Model_1.6 TDi Trendline,Model_1.6 Tour,Model_1.6 Trendline,Model_1.6 Trendline Classic,Model_1.8 4motion,Model_1.8 Basic,Model_1.8 CL,Model_1.8 Comfortline,Model_1.8 GL,Model_1.8 GT,Model_1.8 Highline,Model_1.8 T,Model_1.8 T Basic,Model_1.8 T Comfortline,Model_1.8 T Exclusive,Model_1.8 T Highline,Model_1.8 T Trendline,Model_1.8 TSI,Model_1.8 TSI Comfortline,Model_1.8 TSI Exclusive,Model_1.8 TSI Highline,Model_1.8 Trendline,Model_1.9 D CL,Model_1.9 SDi,Model_1.9 TDI,Model_1.9 TDI Comfortline,Model_1.9 TDi,Model_1.9 TDi Comfortline,Model_1.9 TDi Comfortline Classic,Model_1.9 TDi Exclusive,Model_1.9 TDi Highline,Model_1.9 TDi Midline,Model_1.9 TDi Pacific,Model_1.9 TDi Primeline,Model_1.9 TDi Tour,Model_1.9 TDi Trendline,Model_2.0,Model_2.0 Comfortline,Model_2.0 Diamond,Model_2.0 FSi Comfortline,Model_2.0 FSi Highline,Model_2.0 GL,Model_2.0 GTi,Model_2.0 Highline,Model_2.0 TDI Basic,Model_2.0 TDI Comfortline,Model_2.0 TDI Elegance,Model_2.0 TDI R-Line,Model_2.0 TDi,Model_2.0 TDi BlueMotion Comfortline,Model_2.0 TDi BlueMotion Highline,Model_2.0 TDi BlueMotion Trendline,Model_2.0 TDi Comfortline,Model_2.0 TDi Exclusive,Model_2.0 TDi Highline,Model_2.0 TDi Sportline,Model_2.0 TDi Trendline,Model_2.0 TFSi Comfortline,Model_2.0 TFSi Highline,Model_2.0 TSI,Model_2.0 TSI R 4Motion,Model_2.0 TSI R BMT,Model_2.0 TSI R Line,Model_2.0 Trendline,Model_2.5,Model_2.5 TDi Comfortline,Model_2.5 TDi Trendline,Model_2.8,Model_2.8 Highline,Model_3.2,Model_4.2,Model_5.0 TDi,Model_5.0 TDi Long,Model_6.0 W12,Seri_Beetle,Seri_Bora,Seri_EOS,Seri_Golf,Seri_Jetta,Seri_Lupo,Seri_Passat,Seri_Passat Variant,Seri_Phaeton,Seri_Polo,Seri_Scirocco,Seri_Sharan,Seri_Touran,Seri_VW CC,Seri_Vento
0,2005,186.0,47.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2016,13.6,108.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2012,108.0,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2008,157.0,65.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2012,127.0,78.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2007,176.0,55.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2007,146.0,58.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2015,53.0,135.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2014,52.0,123.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2013,80.0,127.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
